revwNum,kbcSiteCode,revwKindCode,revwPatrCode,mmbrNum,mmbrId,cretDttm,revwCntt,revwEmtnKywrPatrCode,revwEmtnKywrCode,revwEmtnKywrName,revwRvgr,splrInclYsno,hdngYsno,cttsHdngRsnCode,hdngRsn,attndChekTrgtYsno,ordrId,rewardEvcAmnt,rewardEvcIsncYsno,rewardEvcIsncDate,mgrRewardEvcIsncYsno,mgrRewardEvcIsncRsn,evntId,dltYsno,saleCmdtid,saleCmdtDvsnCode,cmdtName,cmdtcode,saleLmttAge,recdcode,saleCmdtGrpDvsnCode,imgUrl,crtrId,amnrId,reviewAtacList,reviewAtacCount,atacFileNum,reviewRecommendCount,reviewCommentCount,reviewDeclarationCount,reviewRecommendUserYsno,declaration5timesYsno,declarationUserYsno,blockUserYsno,firstRevwNum,oneMonthRevwNum,chrcList,fndgPrjtSrmb,turnSrmb
2400003,001,001,002,12001365389,br********,2019-06-15 09:15:34.93,빅데이터 개념 잡기부터 간단한 실습까지 한번에 익히도록 잘 구성되어 있어요.,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,12*********,12*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2399991,001,001,002,11998001226,jh****,2019-04-05 16:14:27.493,말그대로 밑바닥부터 딥러닝을 배우기 위해 주문했습니다~,002,003,쉬웠어요,3,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,11*********,11*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400057,001,001,002,62003388371,jo*******,2019-04-02 17:38:33.64,기초부터 중급까지 아주 좋아요,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400048,001,001,002,52016017780,bo***,2019-03-18 12:39:16.58,잘 설명이 되어 있습니다.,002,003,쉬웠어요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,52*********,52*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400082,001,001,002,62011319809,yk******,2019-02-08 10:34:48.686,- 딥 러닝의 기초공부에 좋은듯 해요.,002,005,추천해요,3,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400097,001,001,002,62015526857,ha******,2019-01-25 13:37:09.17,"책 내용도 좋고, 빠른 배송도 좋은데 책 상태가 안 좋습니다 ㅠㅠ 윗부분이 다 뜯어져서 왔는데 속상하네요 ..",002,005,추천해요,3,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,"[{'atacFileNum': 42207, 'atacFileSqnc': 1, 'saveFilePathName': 'dtl/Klover/', 'saveFileName': '20190125133704058.jpg', 'origAtacFileName': 'IMG_1548391025109.jpg', 'atacFileExtnsName': 'jpg', 'webLinkUrladrs': 'dtl/Klover/201901/20190125133704058.jpg', 'filePatrCode': '001', 'atacFileDscr': '31992', 'atacFileByteCont': '0', 'flag': 'R'}]",1,42207,0,0,0,N,N,N,N,,None,[],0,None
2400054,001,001,002,62003140380,ma*******,2019-01-18 10:52:02.776,배송이 빨라요. 구성도 좋아요.,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400081,001,001,002,62011159018,un****,2018-12-17 07:35:56.416,좋아요,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400114,001,001,002,62017803594,pj*****,2018-12-11 10:01:03.636,좋은 도서입니다. 감사합니다.,002,001,집중돼요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
2400067,001,001,002,62006047113,ko*****,2018-12-04 17:51:36.553,딥러닝 공부를 위해 유용한 책입니다.,002,005,추천해요,4,N,N,None,None,N,None,0,None,None,None,None,0,N,S000001057805,KOR,밑바닥부터 시작하는 딥러닝,9788968484636,0,None,None,None,62*********,62*********,[],0,0,0,0,0,N,N,N,N,,None,[],0,None
